Div,Y,Team,priorGD
Serie_A,18,Empoli,-0.5682185765053326
Serie_A,18,Fiorentina,0.1152016110323423
Serie_A,18,Frosinone,-0.5682185765053326
Serie_A,18,Genoa,-0.30006110211391035
Serie_A,18,Inter,0.7611658314820686
Serie_A,18,Juventus,1.3609897504711002
Serie_A,18,Lazio,0.8534464344034581
Serie_A,18,Milan,0.2536225154144265
Serie_A,18,Napoli,1.0380076402462368
Serie_A,18,Parma,-0.5682185765053326
Serie_A,18,Roma,0.6919553792910266
Serie_A,18,Sampdoria,-0.16164019773182617
Serie_A,18,Sassuolo,-0.7614641167208578
Serie_A,18,Spal,-0.5307626094173841
Serie_A,18,Torino,0.1152016110323423
Serie_A,18,Udinese,-0.4154118557656472
