GameID,isHome,pA,pH,pD,Div,Y,Date,Team,G,S,xG,GD,SD,xGD
288,True,0.3555943413558699,0.3338232592320411,0.3105823994120889,Serie_A,14,2014-09-28,Torino,1,15,1.04433,0,-4,-0.3286
289,False,0.3617571257338271,0.3289804734022388,0.3092624008639342,Serie_A,14,2014-09-28,Sampdoria,1,10,0.25254499999999996,1,3,0.04889099999999996
289,True,0.3617571257338271,0.3289804734022388,0.3092624008639342,Serie_A,14,2014-09-28,Genoa,0,7,0.203654,-1,-3,-0.04889099999999996
290,False,0.2952661446735149,0.43762660728395947,0.2671072480425257,Bundesliga,14,2014-09-28,Ein Frankfurt,2,7,0.23288899999999998,1,-7,-0.860381
290,True,0.2952661446735149,0.43762660728395947,0.2671072480425257,Bundesliga,14,2014-09-28,Hamburg,1,14,1.09327,-1,7,0.860381
291,False,0.33864634401356897,0.35465508027602866,0.3066985757104021,Ligue_1,14,2014-09-28,Lyon,1,10,0.693743,0,-4,-1.214937
291,True,0.33864634401356897,0.35465508027602866,0.3066985757104021,Ligue_1,14,2014-09-28,Nantes,1,14,1.90868,0,4,1.214937
292,False,0.24548736462093865,0.48014440433213,0.2743682310469314,Bundesliga,14,2014-09-28,Hertha,0,10,0.283655,-1,2,-0.9737749999999998
292,True,0.24548736462093865,0.48014440433213,0.2743682310469314,Bundesliga,14,2014-09-28,Augsburg,1,8,1.2574299999999998,1,-2,0.9737749999999998
293,False,0.2286125657031843,0.4879342820232144,0.2834531522736014,EPL,14,2014-09-28,Burnley,0,10,0.473814,-4,-10,-1.3374560000000002
293,True,0.2286125657031843,0.4879342820232144,0.2834531522736014,EPL,14,2014-09-28,West Brom,4,20,1.8112700000000002,4,10,1.3374560000000002
294,False,0.18385571703729647,0.5578707756960252,0.2582735072666784,Ligue_1,14,2014-09-28,Rennes,1,12,2.28274,-1,-2,0.5445800000000001
294,True,0.18385571703729647,0.5578707756960252,0.2582735072666784,Ligue_1,14,2014-09-28,Bordeaux,2,14,1.73816,1,2,-0.5445800000000001
295,False,0.36694226970073895,0.3308699787810053,0.3021877515182557,Ligue_1,14,2014-09-28,Caen,0,13,0.375391,0,4,-0.14338199999999995
