Div,Date,Y,Team_Home,Team_Away,G_Home,G_Away,S_Home,S_Away,pH,pD,pA,xG_Home,xG_Away,GameID,GD_Home,GD_Away,SD_Home,SD_Away,xGD_Home,xGD_Away
Bundesliga,2014-08-30,14,Leverkusen,Hertha,4,2,21,3,0.6773837721360959,0.20210009662496686,0.1205161312389373,2.53036,0.712547,90,2,-2,18,-18,1.817813,-1.817813
Bundesliga,2014-08-30,14,Hamburg,Paderborn,0,3,13,15,0.5575221238938054,0.24778761061946905,0.1946902654867257,1.14049,2.37004,91,-3,3,-2,2,-1.22955,1.22955
Ligue_1,2014-08-30,14,Monaco,Lille,1,1,13,4,0.4946871689512376,0.29238226702192543,0.21293056402683705,1.74105,0.20940300000000006,92,0,0,9,-9,1.531647,-1.531647
La_Liga,2014-08-30,14,Ath Bilbao,Levante,3,0,10,10,0.7297358265395968,0.18380564051937207,0.08645853294103092,2.25621,0.331502,93,3,-3,0,0,1.9247079999999999,-1.9247079999999999
Ligue_1,2014-08-30,14,Nantes,Montpellier,1,0,14,7,0.4136299100804544,0.321107430194037,0.2652626597255088,1.27017,0.127161,94,1,-1,7,-7,1.143009,-1.143009
La_Liga,2014-08-30,14,Cordoba,Celta,1,1,6,9,0.28604253167154675,0.29287339809952395,0.4210840702289294,0.241504,0.786352,95,0,0,-3,3,-0.544848,0.544848
La_Liga,2014-08-30,14,Espanol,Sevilla,1,2,4,13,0.3872934793696611,0.2924932844194753,0.3202132362108636,0.9457450000000001,1.36011,96,-1,1,-9,9,-0.4143649999999999,0.4143649999999999
Serie_A,2014-08-30,14,Roma,Fiorentina,2,0,20,10,0.5646702047005306,0.25064442759666417,0.1846853677028052,2.2401400000000002,0.377616,97,2,-2,10,-10,1.8625240000000003,-1.8625240000000003
La_Liga,2014-08-31,14,Villarreal,Barcelona,0,1,9,20,0.17574753726789294,0.2188998343649202,0.6053526283671867,1.10836,3.12545,98,-1,1,-11,11,-2.0170899999999996,2.0170899999999996
La_Liga,2014-08-31,14,Elche,Granada,1,1,15,5,0.422915083864181,0.29913505931856704,0.27794985681725204,1.3565200000000002,0.762738,99,0,0,10,-10,0.5937820000000001,-0.5937820000000001
La_Liga,2014-08-31,14,La Coruna,Vallecano,2,2,10,12,0.4172086596038692,0.29442653155228005,0.28836480884385074,1.8994400000000002,2.2358599999999997,100,0,0,-2,2,-0.3364199999999995,0.3364199999999995
La_Liga,2014-08-31,14,Sociedad,Real Madrid,4,2,13,19,0.11193769878193516,0.18341851392171027,0.7046437872963546,2.74099,2.3157400000000004,101,2,-2,-6,6,0.4252499999999997,-0.4252499999999997
