Div,Date,Y,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,pH,pD,pA
EPL,2014-12-06,14,Stoke,Arsenal,3,2,3,0,0.2333120917635813,0.2815835590250119,0.4851043492114067
EPL,2014-12-06,14,Tottenham,Crystal Palace,0,0,0,0,0.6057269397756296,0.2341951413929642,0.1600779188314062
EPL,2014-12-07,14,Aston Villa,Leicester,2,1,1,1,0.4132880712729213,0.2880860967402422,0.2986258319868364
EPL,2014-12-07,14,West Ham,Swansea,3,1,1,1,0.4050310857474921,0.2857653724515833,0.3092035418009245
EPL,2014-12-08,14,Southampton,Man United,1,2,1,1,0.3500946611132147,0.28413479742521774,0.36577054146156757
EPL,2014-12-13,14,Arsenal,Newcastle,4,1,1,0,0.6770758295072862,0.1983353439970838,0.12458882649563005
EPL,2014-12-13,14,Burnley,Southampton,1,0,0,0,0.176985465349715,0.2584919296555047,0.5645226049947805
EPL,2014-12-13,14,Chelsea,Hull,2,0,1,0,0.8296774915834338,0.12361356566520858,0.04670894275135744
EPL,2014-12-13,14,Crystal Palace,Stoke,1,1,1,1,0.3815302290151552,0.2980342518446653,0.32043551914017937
EPL,2014-12-13,14,Leicester,Man City,0,1,0,1,0.14468191769136385,0.20664484868576646,0.6486732336228697
EPL,2014-12-13,14,Sunderland,West Ham,1,1,1,1,0.32867407762990297,0.2872283728261322,0.3840975495439651
EPL,2014-12-13,14,West Brom,Aston Villa,1,0,0,0,0.4585193155392038,0.2911665683245982,0.250314116136198
EPL,2014-12-14,14,Man United,Liverpool,3,0,2,0,0.5357148193415552,0.24882185771447868,0.21546332294396617
EPL,2014-12-14,14,Swansea,Tottenham,1,2,0,1,0.3924222225550846,0.2827249442039514,0.3248528332409641
EPL,2014-12-15,14,Everton,QPR,3,1,2,0,0.6656881132947349,0.21044333904156134,0.12386854766370382
EPL,2014-12-20,14,Aston Villa,Man United,1,1,1,0,0.15698383034045665,0.23360689038758428,0.609409279271959
EPL,2014-12-20,14,Hull,Swansea,0,1,0,1,0.31823658952092077,0.2943449536710018,0.38741845680807746
EPL,2014-12-20,14,Man City,Crystal Palace,3,0,0,0,0.7489907194781106,0.17213646359935525,0.07887281692253416
